de	_		la			
la	_		ciencia			
ciencia	_		y			
y	_		el			
el	_		compromiso			
compromiso	_		de			
de	_		los			
los	_		científicos			
científicos				.	_	Un
Un	_		tour			
tour	_		de			
de	_		forcé			
forcé	_		realmente			
realmente	_		destacable			
destacable				.	\n\n	En
En	_		su			
su	_		siguiente			
siguiente	_		novela			
novela				,	_	la
la	_		que			
que	_		hoy			
hoy	_		presentamos			
presentamos				,	_	McDevitt
McDevitt	_		se			
se	_		interesa			
interesa	_		por			
por	_		la			
la	_		gesta			
gesta	_		de			
de	_		un			
un	_		mítico			
mítico	_		héroe			
héroe	_		militar			
militar	_		del			
del	_		futuro			
futuro	_		galáctico			
galáctico				.	_	Para
Para	_		algunos			
algunos	_		comentaristas			
comentaristas	_		y			
y	_		críticos			
críticos				,	_	UN
UN	_		TALENTO			
TALENTO	_		PARA			
PARA	_		LA			
LA	_		GUERRA			
GUERRA	_		seria			
seria	_		un			
un	_		ejemplo			
ejemplo	_		más			
más	_		de			
de	_		la			
la	_		ciencia			
ciencia	_		ficción			
ficción	_		que			
que	_		toma			
toma	_		la			
la	_		guerra			
guerra	_		como			
como	_		campo			
campo	_		de			
de	_		especulación			
especulación	_		principal			
principal				.	_	En
En	_		concreto			
concreto				,	_	Michael
Michael	_		Bishop			
Bishop				,	_	autor
autor	_		premiado			
premiado	_		y			
y	_		ya			
ya	_		conocido			
conocido	_		por			
por	_		el			
el	_		lector			
lector	_		español			
español				,	_	dirá
dirá	_		de			
de	_		esta			
esta	_		novela			
novela				:	\n\n	Llena
Llena	_		de			
de	_		suspense			
suspense	_		y			
y	_		colorido			
colorido				...	_	La
La	_		mejor			
mejor	_		novela			
novela	_		de			
de	_		ciencia			
ciencia	_		ficción			
ficción	_		sobre			
sobre	_		la			
la	_		guerra			
guerra	_		que			
que	_		he			
he	_		leído			
leído	_		desde			
desde	_		La			
La	_		guerra			
guerra	_		interminable			
interminable				,	_	de
de	_		Joe			
Joe	_		Haldeman			
Haldeman				.	\n\n\n\n	Pero
Pero				,	_	en
en	_		mi			
mi	_		opinión			
opinión				,	_	lo
lo	_		más			
más	_		interesante			
interesante	_		de			
de	_		UN			
UN	_		TALENTO			
TALENTO	_		PARA			
PARA	_		LA			
LA	_		GUERRA			
GUERRA	_		no			
no	_		es			
es	_		precisamente			
precisamente	_		el			
el	_		tema			
tema	_		bélico			
bélico				,	_	sino
sino	_		la			
la	_		vertiente			
vertiente	_		histórica			
histórica	_		con			
con	_		que			
que	_		es			
es	_		contemplado			
contemplado				.	\n\n	En
En	_		realidad			
realidad	_		la			
la	_		novela			
novela	_		toma			
toma	_		la			
la	_		forma			
forma	_		de			
de	_		una			
una	_		curiosa			
curiosa	_		investigación			
investigación	_		histórica			
histórica	_		en			
en	_		la			
la	_		que			
que	_		se			
se	_		embarca			
embarca	_		el			
el	_		protagonista			
protagonista				,	_	Alex
Alex	_		fíe			
nedict				,	_	para
para	_		averiguar			
averiguar	_		la			
la	_		realidad			
realidad	_		de			
de	_		unos			
unos	_		hechos			
hechos	_		ocurridos			
ocurridos	_		doscientos			
doscientos	_		años			
años	_		atrás			
atrás				.	\n\n	La
La	_		trama			
trama	_		es			
es	_		engañosamente			
engañosamente	_		simple			
simple				:	_	en
en	_		la			
la	_		época			
época	_		de			
de	_		Alex			
Alex	_		Be			
Be				-	_	nedict
nedict				,	_	todos
todos	_		conocen			
conocen	_		la			
la	_		aventura			
aventura	_		de			
de	_		Christopher			
Christopher	_		Sim			
Sim				,	_	el
el	_		héroe			
héroe	_		interestelar			
interestelar	_		con			
con	_		un			
un	_		raro			
raro	_		talento			
talento	_		para			
para	_		la			
la	_		guerra			
guerra				,	_	el
el	_		luchador			
luchador	_		que			
que	_		logró			
logró	_		cambiar			
cambiar	_		la			
la	_		historia			
historia	_		cuando			
cuando	_		convocó			
convocó	_		y			
y	_		dirigió			
dirigió	_		al			
al	_		grupo			
grupo	_		de			
de	_		marginados			
marginados	_		que			
que	_		inició			
inició	_		la			
la	_		defensa			
defensa	_		de			
de	_		la			
la	_		humanidad			
humanidad	_		ante			
ante	_		la			
la	_		amenaza			
amenaza	_		de			
de	_		los			
los	_		telépatas			
telépatas	_		alienígenas			
alienígenas	_		del			
del	_		Ashiyyur			
Ashiyyur				.	_	Pero
Pero				,	_	doscientos
doscientos	_		años			
años	_		después			
después	_		de			
de	_		esa			
esa	_		gesta			
gesta				,	_	Alex
Alex	_		ha			
ha	_		encontrado			
encontrado	_		en			
en	_		un			
un	_		viejo			
viejo	_		ordenador			
ordenador	_		retazos			
retazos	_		de			
de	_		información			
información	_		que			
que				,	_	de
de	_		ser			
ser	_		ciertos			
ciertos				,	_	plantearían
plantearían	_		múltiples			
múltiples	_		dudas			
dudas	_		sobre			
sobre	_		la			
la	_		gesta			
gesta	_		de			
de	_		Sim			
Sim	_		y			
y	_		sus			
sus	_		míticos			
míticos	_		luchadores			
luchadores				.	_	La
La	_		arriesgada			
arriesgada	_		búsqueda			
búsqueda	_		de			
de	_		la			
la	_		verdad			
verdad	_		llevará			
llevará	_		a			
a	_		Benedict			
Benedict	_		a			
a	_		cuestionar			
cuestionar	_		la			
la	_		leyenda			
leyenda	_		y			
y	_		la			
la	_		historia			
historia	_		oficial			
oficial				,	_	y
y	_		le			
le	_		obligará			
obligará	_		a			
a	_		adentrarse			
adentrarse	_		en			
en	_		el			
el	_		corazón			
corazón	_		de			
de	_		un			
un	_		territorio			
territorio	_		alienígena			
alienígena				,	_	para
para	_		encontrar			
encontrar	_		una			
una	_		verdad			
verdad	_		tal			
tal	_		vez			
vez	_		más			
más	_		extraña			
extraña	_		de			
de	_		lo			
lo	_		que			
que	_		pudiera			
pudiera	_		imaginar			
imaginar	_		cualquier			
cualquier	_		ficción			
ficción				.	_	La
La	_		novela			
novela	_		mantiene			
mantiene	_		el			
el	_		suspense			
suspense	_		propio			
propio	_		de			
de	_		una			
una	_		investigación			
investigación				,	_	de
de	_		una			
una	_		búsqueda			
búsqueda	_		de			
de	_		la			
la	_		verdad			
verdad	_		histórica			
histórica				,	_	percibida
percibida	_		a			
a	_		veces			
veces	_		en			
en	_		retazos			
retazos	_		de			
de	_		información			
información	_		a			
a	_		los			
los	_		que			
que	_		ya			
ya	_		no			
no	_		se			
se	_		da			
da	_		importancia			
importancia	_		ante			
ante	_		la			
la	_		fuerza			
fuerza	_		de			
de	_		la			
la	_		leyenda			
leyenda	_		establecida			
establecida				.	_	Con
Con	_		ello			
ello				,	_	UN
UN	_		TALENTO			
TALENTO	_		PARA			
PARA	_		LA			
LA	_		GUERRA			
GUERRA	_		resulta			
resulta	_		ser			
ser	_		no			
no	_		sólo			
sólo	_		una			
una	_		brillante			
brillante	_		especulación			
especulación	_		sobre			
sobre	_		la			
la	_		guerra			
guerra				,	_	sobre
sobre	_		sus			
sus	_		razones			
razones	_		y			
y	_		sus			
sus	_		tácticas			
tácticas	_		y			
y	_		sobre			
sobre	_		los			
los	_		hombres			
hombres	_		que			
que	_		la			
la	_		hacen			
hacen				,	_	sino
sino	_		también			
también	_		sobre			
sobre	_		la			
la	_		forma			
forma				,	_	a
a	_		menudo			
menudo	_		interesada			
interesada				,	_	en
en	_		que			
que	_		se			
se	_		escribe			
escribe	_		la			
la	_		historia			
historia				.	\n\n	El
El	_		tratamiento			
tratamiento	_		de			
de	_		los			
los	_		personajes			
personajes				,	_	que
que	_		tanto			
tanto	_		atrajo			
atrajo	_		a			
a	_		Terry			
Terry	_		Carr			
Carr	_	—	el			
el	_		famoso			
famoso	_		editor			
editor	_		norteamericano			
norteamericano	_		de			
de	_		EL			
EL	_		TEXTO			
TEXTO	_		DE			
DE	_		HÉRCULES			
HÉRCULES				—,	_	se
se	_		traslada			
traslada	_		aquí			
aquí	_		al			
al	_		análisis			
análisis	_		de			
de	_		la			
la	_		compleja			
compleja	_		personalidad			
personalidad	_		del			
del	_		héroe			
héroe				.	_	Otros
Otros	_		autores			
autores	_		de			
de	_		ciencia			
ciencia	_		ficción			
ficción	_		han			
han	_		apreciado			
apreciado	_		también			
también	_		este			
este	_		interesante			
interesante	_		aspecto			
aspecto	_		de			
de	_		la			
la	_		narrativa			
narrativa	_		de			
de	_		McDevitt			
McDevitt				.	_	En
En	_		palabras			
palabras	_		de			
de	_		James			
James	_		Patrick			
Patrick	_		Kelly			
Kelly				,	_	al
al	_		referirse			
referirse	_		a			
a	_		UN			
UN	_		TALENTO			
TALENTO	_		PARA			
PARA	_		LA			
LA	_		GUERRA			
GUERRA				:	\n\n	McDevitt
McDevitt	_		comprende			
comprende	_		a			
a	_		los			
los	_		héroes			
héroes				,	_	su
su	_		obsesión			
obsesión	_		y			
y	_		su			
su	_		deber			
deber				,	_	y
y	_		escribe			
escribe	_		sobre			
sobre	_		ellos			
ellos	_		con			
con	_		una			
una	_		tenaz			
tenaz	_		inteligencia			
inteligencia	_		que			
que	_		brilla			
brilla	_		en			
en	_		cada			
cada	_		frase			
frase				.	\n\n\n\n	Tal
Tal	_		vez			
vez	_		por			
por	_		ello			
ello				,	_	la
la	_		gesta			
gesta	_		de			
de	_		Christopher			
Christopher	_		Sim			
Sim	_		y			
y	_		sus			
sus	_		Siete			
Siete	_		se			
se	_		rodea			
rodea	_		de			
de	_		citas			
citas	_		y			
y	_		referencias			
referencias	_		al			
al	_		mundo			
mundo	_		clásico			
clásico	_		y			
y	_		Sim			
Sim				,	_	el
el	_		luchador			
luchador				,	_	se
se	_		une			
une	_		al			
al	_		Sim			
Sim	_		filósofo			
filósofo	_		y			
y	_		estratega			
estratega	_		en			
en	_		sus			
sus	_		estudios			
estudios	_		sobre			
sobre	_		la			
la	_		antigüedad			
antigüedad	_		helénica			
helénica				,	_	para
para	_		componer			
componer	_		un			
un	_		complejo			
complejo	_		y			
y	_		curioso			
curioso	_		personaje			
personaje				,	_	sobre
sobre	_		el			
el	_		que			
que	_		gravita			
gravita				,	_	además
además				,	_	el
el	_		peso			
peso	_		de			
de	_		la			
la	_		responsabilidad			
responsabilidad	_		histórica			
histórica				.	\n\n	Por
Por	_		si			
