>> Total palabras: 9225
>> Total diferentes: 2836
-------
cnt	freq
1	1982
2	368
3	145
4	93
5	50
6	34
7	29
10	20
8	19
9	16
12	7
15	7
11	6
16	5
19	4
20	4
13	3
14	3
18	3
17	2
24	2
46	2
96	2
21	1
23	1
25	1
35	1
38	1
39	1
40	1
41	1
44	1
50	1
52	1
53	1
55	1
56	1
58	1
66	1
74	1
97	1
101	1
114	1
570	debajo	2
571	debe	2
572	deben	2
573	debía	2
574	dejado	2
575	demasiada	2
576	desea	2
577	deseo	2
578	desgracia	2
579	desgraciados	2
580	detrás	2
581	dieron	2
582	dignidad	2
583	dije	2
584	dirigió	2
585	doc	2
586	doctor	2
587	dolido	2
588	doncella	2
589	dotado	2
590	dudo	2
591	dueño	2
592	dueños	2
593	dólar	2
594	echando	2
595	edad	2
596	ellas	2
597	empuja	2
598	enamorado	2
599	ensayo	2
600	entré	2
601	equipo	2
602	escasos	2
603	escribió	2
604	escrito	2
605	eslogan	2
606	esos	2
607	espaldas	2
608	especialmente	2
609	espectadores	2
610	esperando	2
611	estaban	2
612	estar	2
613	estreno	2
614	estudio	2
615	estudios	2
616	etc	2
617	existían	2
618	facilidad	2
619	famoso	2
620	fieles	2
621	figura	2
622	filosofía	2
623	fin	2
624	flor	2
625	fragmento	2
626	fácil	2
627	ganar	2
628	general	2
629	generalmente	2
630	generoso	2
631	gloriosa	2
632	gozaban	2
633	gracia	2
634	gracioso	2
635	groucho	2
636	grupo	2
637	gustaba	2
638	haberlo	2
639	habichuelas	2
640	habría	2
641	hada	2
642	hallar	2
643	hallarse	2
644	hará	2
645	haya	2
646	hemos	2
647	historia	2
648	hizo	2
649	horas	2
650	hoy	2
651	héroes	2
652	ideal	2
653	ignora	2
654	imparcialmente	2
655	importante	2
656	impuesto	2
657	incluso	2
658	indefinidamente	2
659	indiferente	2
660	inevitable	2
661	infancia	2
662	inocente	2
663	inspector	2
664	inteligente	2
665	ir	2
666	japón	2
667	joven	2
668	juvenil	2
669	lectores	2
670	liberal	2
671	limpiar	2
672	linda	2
673	lista	2
674	llamado	2
675	llegó	2
676	llena	2
677	lleva	2
678	lujo	2
679	mal	2
680	maldita	2
681	mar	2
682	maravillosos	2
683	maíz	2
684	medida	2
685	mejorar	2
686	mejores	2
687	misma	2
688	mitad	2
689	modelo	2
690	morir	2
691	mormones	2
692	motivo	2
693	motor	2
694	muchacha	2
695	muebles	2
696	mujercita	2
697	mí	2
698	nacional	2
699	necesitaba	2
700	negocios	2
701	niños	2
702	nombre	2
703	normales	2
704	notas	2
705	nuestras	2
706	nuevamente	2
707	nueve	2
708	nuevos	2
709	número	2
710	obtener	2
711	ocasionalmente	2
712	ocasión	2
713	ocho	2
714	ocultar	2
715	oferta	2
716	oficina	2
717	ofrecieron	2
718	oh	2
719	ojos	2
720	orangután	2
721	organismo	2
722	oriental	2
723	original	2
724	oscuro	2
725	ovación	2
726	pagado	2
727	palabra	2
728	pan	2
729	par	2
730	parar	2
731	parecen	2
732	parecía	2
733	partida	2
734	pasados	2
735	paso	2
736	patrón	2
737	pavesas	2
738	pañuelo	2
739	peligros	2
740	pelos	2
741	pensamiento	2
742	pensar	2
743	pensión	2
744	peores	2
745	permita	2
746	perras	2
747	personalmente	2
748	personas	2
749	pesar	2
750	pieles	2
751	pipa	2
752	platea	2
753	plena	2
754	pobres	2
755	podían	2
756	ponerse	2
757	precisa	2
758	preciso	2
759	presenta	2
760	primavera	2
761	primeras	2
762	principio	2
763	problemas	2
764	procedimientos	2
765	promedio	2
766	propina	2
767	práctico	2
768	quedaría	2
769	quede	2
770	quedó	2
771	quiero	2
772	quise	2
773	raramente	2
774	razón	2
775	realmente	2
776	rechazó	2
777	reconocido	2
778	recuerda	2
779	relación	2
780	remediarlo	2
781	repente	2
782	resolver	2
783	resto	2
784	resultó	2
785	revista	2
786	ricos	2
787	riesgo	2
788	rinde	2
789	rutilante	2
790	sabe	2
791	sabemos	2
792	sala	2
793	salen	2
794	sardina	2
795	schopenhauer	2
796	selva	2
797	sentada	2
798	serio	2
799	servidor	2
800	sexo	2
801	sexual	2
802	señora	2
803	siente	2
804	significa	2
805	sindicato	2
806	sistema	2
807	soltero	2
808	solución	2
809	solía	2
810	sombrero	2
811	soñando	2
812	sucede	2
813	suele	2
814	sueños	2
815	supermercado	2
816	suya	2
817	sándwich	2
818	tanta	2
819	tarde	2
820	televisión	2
821	telón	2
822	tendrás	2
823	tenemos	2
824	tenido	2
825	toda	2
826	tomate	2
827	tono	2
828	totalmente	2
829	trabajando	2
830	trabajo	2
831	trajes	2
832	tras	2
833	trasera	2
834	trasero	2
835	trata	2
836	tratamiento	2
837	tratan	2
838	traté	2
839	través	2
840	trigo	2
841	vale	2
842	valor	2
843	varón	2
844	vaya	2
845	ventanilla	2
846	verdadero	2
847	vestido	2
848	viejo	2
849	viene	2
850	volver	2
851	washington	2
852	época	2
853	última	2
854	única	2
855	1	1
856	2	1
857	21	1
858	25	1
859	27	1
860	3	1
861	4	1
862	60	1
863	707	1
864	abandonado	1
865	abierta	1
866	abocado	1
867	abolir	1
868	abramos	1
869	abrió	1
870	abundante	1
871	aburrimiento	1
872	acaba	1
873	acabado	1
874	acaban	1
875	acaben	1
876	acabo	1
877	acechan	1
878	acentúa	1
879	aceptaba	1
880	aceptara	1
881	acera	1
882	acercándose	1
883	acercó	1
884	achacoso	1
885	aconsejable	1
886	acoplaría	1
887	acordará	1
888	acostada	1
889	acostumbra	1
890	acostumbrarme	1
891	actividades	1
892	acto	1
893	actualmente	1
894	actuando	1
895	acudirá	1
896	acuerdo	1
897	adecuada	1
898	adelantado	1
899	adelante	1
900	adelgazar	1
901	adición	1
902	adjetivo	1
903	admirador	1
904	admitiendo	1
905	admitió	1
906	admito	1
907	adornado	1
908	adornan	1
909	adquirió	1
910	adulterio	1
911	adulto	1
912	adversario	1
913	advertir	1
914	afables	1
915	aficionado	1
916	afición	1
917	afirma	1
918	afirmar	1
919	afortunadamente	1
920	afortunadas	1
921	agacharse	1
922	agitada	1
923	agitado	1
924	agradable	1
925	agricultores	1
926	agua	1
927	ah	1
928	ahorradores	1
929	ahorrar	1
930	ahorrarse	1
931	airados	1
932	aire	1
933	alcance	1
934	alcanzan	1
935	alcanzarla	1
936	alcoholizada	1
937	alcornoque	1
938	alegre	1
939	alegro	1
940	alegría	1
941	alfombras	1
942	algunas	1
943	alianzas	1
944	alimentos	1
945	alivio	1
946	almuerzo	1
947	almuerzos	1
948	alta	1
949	altar	1
950	alterar	1
951	altercado	1
952	altere	1
953	altura	1
954	alturas	1
955	aludido	1
956	alzaba	1
957	alzarse	1
958	amado	1
959	ambos	1
960	amenazador	1
961	amenazadora	1
962	americano	1
963	americanos	1
964	amplia	1
965	amígdalas	1
966	anca	1
967	andaba	1
968	ande	1
969	angustia	1
970	anhelante	1
971	anhelara	1
972	anillo	1
973	anillos	1
974	animal	1
975	animales	1
976	anterior	1
977	anticonceptivas	1
978	anticuado	1
979	antiestética	1
980	antigualla	1
981	antonio	1
982	apagan	1
983	aparecerán	1
984	aparecía	1
985	aparente	1
986	apariencia	1
987	apetencias	1
988	aplausos	1
989	apoyada	1
990	apoyo	1
991	apreciamos	1
992	apremia	1
993	apropiado	1
994	aprovechando	1
995	aptos	1
996	apurados	1
997	apuro	1
998	aquélla	1
999	ardiente	1
1000	arrastrarles	1
1001	arrendó	1
1002	arrepentirse	1
1003	arriesgar	1
1004	arrimar	1
1005	artificiosas	1
1006	artimaña	1
1007	artistas	1
1008	artículo	1
1009	asada	1
1010	asados	1
1011	ascendemos	1
1012	ascendente	1
1013	ascua	1
1014	asediar	1
1015	asegurar	1
1016	asiento	1
1017	asientos	1
1018	asigna	1
1019	asimismo	1
1020	asombrada	1
1021	asomo	1
1022	aspectos	1
1023	aspiramos	1
1024	asquerosa	1
1025	asquerosos	1
1026	asta	1
1027	ataque	1
1028	ataviado	1
1029	atender	1
1030	atmósfera	1
1031	atractivo	1
1032	atrae	1
1033	atraer	1
1034	atrajo	1
1035	atraídos	1
1036	atribuyéndolo	1
1037	atribuyó	1
1038	atónito	1
1039	atún	1
1040	audaz	1
1041	aumentado	1
1042	aun	1
1043	autobús	1
1044	automáticamente	1
1045	automóvil	1
1046	automóviles	1
1047	avanzaremos	1
1048	avaro	1
1049	aventura	1
1050	averiguar	1
1051	ayer	1
1052	ayuda	1
1053	ayudando	1
1054	azul	1
1055	añadiduras	1
1056	añadir	1
1057	b	1
1058	bacón	1
1059	bailaba	1
1060	bajos	1
1061	bajó	1
1062	balancea	1
1063	balancean	1
1064	banco	1
1065	bandas	1
1066	baratos	1
1067	barman	1
1068	barney	1
1069	barraca	1
1070	barrio	1
1071	bars	1
1072	baruch	1
1073	barómetro	1
1074	basa	1
1075	bastardo	1
1076	bastaría	1
1077	baste	1
1078	bastidores	1
1079	bastándome	1
1080	basura	1
1081	batirme	1
1082	batió	1
1083	bebe	1
1084	beber	1
1085	bebida	1
1086	bebido	1
1087	bebiendo	1
1088	bellezas	1
1089	bendiga	1
1090	benny	1
1091	berenjenas	1
1092	besa	1
1093	besos	1
1094	beverly	1
1095	bicicleta	1
1096	bifocales	1
1097	blancas	1
1098	bocadillos	1
1099	bola	1
1100	bolas	1
1101	bolsillo	1
1102	bonita	1
1103	bonitas	1
1104	borracho	1
1105	brasil	1
1106	brasileño	1
1107	brazo	1
1108	bronca	1
1109	brotan	1
1110	bruto	1
1111	bucólico	1
1112	buick	1
1113	bulto	1
1114	buscar	1
1115	butifarra	1
1116	básicas	1
1117	cabalgando	1
1118	cabelludo	1
1119	cabina	1
1120	cacahuetes	1
1121	cacería	1
1122	cadena	1
1123	caderas	1
1124	cafetería	1
1125	caja	1
1126	cajero	1
1127	cajita	1
1128	calaña	1
1129	calcetines	1
1130	calesa	1
1131	caliente	1
1132	calificar	1
1133	californiano	1
1134	calmar	1
1135	calor	1
1136	calvo	1
1137	calzoncillos	1
1138	cama	1
1139	cambiado	1
1140	cambios	1
1141	camino	1
1142	campeón	1
1143	campos	1
1144	canal	1
1145	canción	1
1146	cantar	1
1147	capitularon	1
1148	capitán	1
1149	capítulo	1
1150	carabina	1
1151	caracterizan	1
1152	carecen	1
1153	carecía	1
1154	cargo	1
1155	carnicero	1
1156	caro	1
1157	carrera	1
1158	carrocerías	1
1159	cartero	1
1160	casadas	1
1161	casanova	1
1162	castamente	1
1163	cataratas	1
1164	catarros	1
1165	catorce	1
1166	causan	1
1167	causas	1
1168	caviar	1
1169	cayendo	1
1170	caza	1
1171	cazadores	1
1172	cazando	1
1173	cazar	1
1174	cazoleta	1
1175	celebramos	1
1176	celebrar	1
1177	cemento	1
1178	cenamos	1
1179	ceniza	1
1180	centinelas	1
1181	cera	1
1182	cerebro	1
1183	ceremoniosamente	1
1184	cerrada	1
1185	cerrar	1
1186	cerveza	1
1187	cesta	1
1188	charada	1
1189	charlando	1
1190	cheque	1
1191	chicle	1
1192	chimenea	1
1193	chiquillos	1
1194	chupada	1
1195	científicos	1
1196	cierran	1
1197	ciertas	1
1198	ciertos	1
1199	cima	1
1200	cincuentena	1
1201	cine	1
1202	cinturón	1
1203	circuito	1
1204	circunstancia	1
1205	circunstancias	1
1206	cito	1
1207	city	1
1208	ciudad	1
1209	ciudadano	1
1210	ciudadanos	1
1211	clara	1
1212	claridad	1
1213	clase	1
1214	clavado	1
1215	cliente	1
1216	clásico	1
1217	clásicos	1
1218	cobardes	1
1219	cobra	1
1220	coches	1
1221	cochino	1
1222	cocinera	1
1223	cojinetes	1
1224	col	1
1225	colgando	1
1226	colgar	1
1227	colgarme	1
1228	colgarían	1
1229	colillas	1
1230	colmillos	1
1231	colony	1
1232	columna	1
1233	columpiaba	1
1234	columpio	1
1235	columpió	1
1236	comarca	1
1237	combinación	1
1238	comemos	1
1239	comensales	1
1240	cometen	1
1241	comicidad	1
1242	comidos	1
1243	comiendo	1
1244	comiéndose	1
1245	comodidades	1
1246	compartir	1
1247	complacerle	1
1248	completa	1
1249	completamente	1
1250	complicación	1
1251	componen	1
1252	comprando	1
1253	comprar	1
1254	comprarnos	1
1255	comprarte	1
1256	comprenda	1
1257	comprenden	1
1258	comprobar	1
1259	comprometedoras	1
1260	comprándole	1
1261	compró	1
1262	compuesto	1
1263	común	1
1264	concebible	1
1265	concesiones	1
1266	concluirán	1
1267	concluiré	1
1268	concubinas	1
1269	condicionada	1
1270	condiciones	1
1271	conduce	1
1272	conductor	1
1273	confeccionaran	1
1274	conferencia	1
1275	confianza	1
1276	confiaran	1
1277	conforme	1
1278	confort	1
1279	confundirlo	1
1280	conjetura	1
1281	conmigo	1
1282	connaisseur	1
1283	conoce	1
1284	conocen	1
1285	conocimientos	1
1286	conozcan	1
1287	conquistador	1
1288	conseguir	1
1289	consideración	1
1290	consideraría	1
1291	consigue	1
1292	constituida	1
1293	constituir	1
1294	construidos	1
1295	consultan	1
1296	consultarle	1
1297	consume	1
1298	contacto	1
1299	contará	1
1300	contemplar	1
1301	contener	1
1302	contenido	1
1303	contestó	1
1304	continuamente	1
1305	continúa	1
1306	contra	1
1307	contrae	1
1308	contrariedades	1
1309	contrario	1
1310	contribuiría	1
1311	contribuyera	1
1312	controlan	1
1313	convencionales	1
1314	convencionalmente	1
1315	conveniente	1
1316	conversación	1
1317	convertido	1
1318	convulsivamente	1
1319	conyugal	1
1320	corazones	1
1321	corazón	1
1322	coristas	1
1323	corpúsculos	1
1324	cortas	1
1325	corte	1
1326	cosecha	1
1327	coser	1
1328	costillas	1
1329	costoso	1
1330	cotizados	1
1331	craneana	1
1332	creando	1
1333	creciendo	1
1334	creció	1
1335	creer	1
1336	creí	1
1337	creía	1
1338	criatura	1
1339	cristal	1
1340	cristalina	1
1341	crujido	1
1342	cruza	1
1343	cruzase	1
1344	cuadras	1
1345	cual	1
1346	cuarenta	1
1347	cubierta	1
1348	cubierto	1
1349	cubo	1
1350	cuchillo	1
1351	cuero	1
1352	cuerpos	1
1353	cueste	1
1354	cuidaba	1
1355	cuidado	1
1356	cuidados	1
1357	culpar	1
1358	cultivar	1
1359	cultivo	1
1360	culver	1
1361	cumple	1
1362	cumpleaños	1
1363	curioso	1
1364	curtis	1
1365	cuyas	1
1366	cuyos	1
1367	cuál	1
1368	cynara	1
1369	cómico	1
1370	dan	1
1371	dando	1
1372	dará	1
1373	daría	1
1374	datos	1
1375	debieran	1
1376	debo	1
1377	decadencia	1
1378	decencia	1
1379	decidí	1
1380	decirme	1
1381	declaraba	1
1382	decías	1
1383	dedicadas	1
1384	dedos	1
1385	defecto	1
1386	deficitaria	1
1387	definitivo	1
1388	deformados	1
1389	deja	1
1390	dejaba	1
1391	dejar	1
1392	dejara	1
1393	delantera	1
1394	deliciosa	1
1395	demostración	1
1396	demostrar	1
1397	demostrará	1
1398	demás	1
1399	dentadura	1
1400	dentista	1
1401	deposita	1
1402	deposité	1
1403	derecho	1
1404	derramaban	1
1405	derretida	1
1406	derrota	1
1407	derrotado	1
1408	desafiladas	1
1409	desaparecer	1
1410	desaparecido	1
1411	desapareciera	1
1412	desarrolló	1
1413	descabezar	1
1414	descendencia	1
1415	descenderemos	1
1416	descienden	1
1417	descolorida	1
1418	descomunales	1
1419	descontenta	1
1420	descoyunta	1
1421	describen	1
1422	descubriendo	1
1423	descubrieron	1
1424	descubrió	1
1425	desdeñar	1
1426	deseaba	1
1427	deseado	1
1428	desempeña	1
